Geo Point;Geo Shape;codeunique;nom_long;label;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;idrefliga;idrefligc;res_com;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.32402397967573, 3.130420763098966;"{""coordinates"": [3.130420763098966, 48.32402397967573], ""type"": ""Point""}";488.0;Champigny-sur-Yonne;Champigny-sur-Yonne;411462.0;Champigny-sur-Yonne;411461.0;Champigny-sur-Yonne;A02171;C01745;TER;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;0.0;709667.2453000024;6802641.787900001
48.13757876858616, 3.290315784213702;"{""coordinates"": [3.290315784213702, 48.13757876858616], ""type"": ""Point""}";490.0;Étigny-Veron;Étigny-Veron;411456.0;Étigny - Véron;411455.0;Étigny - Véron;A02171;C01745;TER;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;0.0;721595.3721999973;6781952.114300001
48.787566727447015, 2.2929880092589787;"{""coordinates"": [2.292988009258979, 48.787566727447015], ""type"": ""Point""}";293.0;Fontenay-aux-Roses;Fontenay-aux-Roses;70133.0;Fontenay-aux-Roses;43125.0;Fontenay-aux-Roses;A01857;C01743;RER B;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;648055.8497999981;6854396.919399999
49.18708720427586, 2.4595491188444525;"{""coordinates"": [2.459549118844452, 49.18708720427586], ""type"": ""Point""}";501.0;Chantilly - Gouvieux;Chantilly - Gouvieux;411429.0;Chantilly - Gouvieux;411428.0;Chantilly - Gouvieux;A01842;C01728;RER D;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;0.0;660596.9644000009;6898729.3456999995
49.2022911043343, 1.9206110857457552;"{""coordinates"": [1.920611085745755, 49.2022911043343], ""type"": ""Point""}";510.0;Lavilletertre;Lavilletertre;411349.0;Lavilletertre;411348.0;Lavilletertre;A01852;C01739;TRAIN J;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;0.0;621329.1801000014;6900823.353
48.89395181081535, 2.4802059152605986;"{""coordinates"": [2.480205915260599, 48.89395181081535], ""type"": ""Point""}";361.0;Bondy;Bondy;72037.0;Bondy;43096.0;Bondy;A01843 / A01761;C01729 / C01843;RER E / TRAM 4;RER / TRAMWAY;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0;0;0;0;1;0;0;SNCF;0.0;1.0;661888.378899999;6866119.1351
48.94345963196503, 1.541774931662616;"{""coordinates"": [1.541774931662616, 48.94345963196503], ""type"": ""Point""}";113.0;Bréval;Bréval;65051.0;Bréval;43100.0;Bréval;A02174;C01748;TER;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;1.0;1.0;593189.0116000026;6872485.3127
48.40728299316673, 2.7989224425509676;"{""coordinates"": [2.798922442550968, 48.40728299316673], ""type"": ""Point""}";66.0;Champagne-sur-Seine;Champagne-sur-Seine;61537.0;Champagne-sur-Seine;43106.0;Champagne-sur-Seine;A01845;C01731;TRAIN R;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;685119.0;6811907.0
48.545296264937406, 3.2866795280983006;"{""coordinates"": [3.286679528098301, 48.545296264937406], ""type"": ""Point""}";438.0;Champbenoist-Poigny;Champbenoist-Poigny;62064.0;Champbenoist Poigny;47174.0;Champbenoist Poigny;A01844;C01730;TRAIN P;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;0.0;1.0;721160.3605000004;6827267.952599999
48.991898371527775, 2.073620620466596;"{""coordinates"": [2.073620620466596, 48.991898371527775], ""type"": ""Point""}";128.0;Conflans-Fin-d'Oise;Conflans-Fin-d'Oise;73605.0;Conflans Fin d'Oise;43114.0;Conflans Fin d'Oise;A01852 / A02176 / A01856;C01739 / C01740 / C01742;TRAIN J / TRAIN L / RER A;TRAIN / RER;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;SNCF;1.0;1.0;632206.1445000023;6877283.403999999
